id,desc,createTime,video.duration,author.verified,music.title,stats.playCount,stats.diggCount,stats.commentCount,stats.shareCount,hashtagFreqFeature,desc_len,num_hashtags,verified,hour,weekday,is_original_sound,engagement_score
6857209324851318021,Cummins sittin clean! 😎 #trucks #southerntruckz #nashville #south #truckcheck #chevy #truckporn #wheels #diesel #dodge #cummins #ram,2020-08-04 19:14:27,14,False,Money trees by kendrick Lamar,3082,481,5,10,0,132,12,0,19,1,0,0.0013232519687933347
6856902355628133638,Chevrolet looking clean! 💎 #southerntruckz #trucks #dieseltrucks #truckcheck #truckporn #wheels #truckvideos #tires #liftedtrucks #south #nashville,2020-08-03 23:23:17,13,False,Recipe,21200,4095,28,36,0,147,11,0,23,0,0,0.008695961635931532
6856847158633581830,More power baby! 🔥 @jeremy_march #trucks #wheels #dieseltrucks #liftedtruckcheck #southerntruckz #truckporn #diesel #tires #chevy #dodge #racetruck,2020-08-03 19:49:04,9,False,original sound,1854,241,2,2,0,147,11,0,19,0,1,0.0005881142128676649
6856552416171625733,Which Ford are you picking? 🤔 #trucks #southerntruckz #dieseltrucks #nashville #south #diesel #chevy #truckcheck #liftedtruckcheck #ford #wheels,2020-08-03 00:45:20,6,False,original sound,5005,692,15,5,0,144,11,0,0,0,1,0.002954008138405341
6856507133509274886,Who was at the Music City Showdown meet? #trucks #southerntruckz #liftedtruckcheck #dieseltrucks #forces #south #nashville #titans #truckcheck,2020-08-02 21:49:36,4,False,original sound,2329,158,2,1,0,142,9,0,21,6,1,0.0005328886441275857
6856403549019065606,Lowered gang! 💪 #trucks #nashville #southerntruckz #south #titans #liftedtruckcheck #wheels #truck #chevy #lowered #diesel #dodge,2020-08-02 15:07:39,8,False,original sound,2242,207,5,6,0,129,12,0,15,6,1,0.0010189942567921137
6856159644247756038,That’s one way to do it! @jonathanking3999 #trucks #wheels #southerntruckz #liftedtruckcheck #forces #dieseltrucks #south #truckporn #truck #chevy,2020-08-01 23:21:09,12,False,original sound,1428,104,3,4,0,146,10,0,23,5,1,0.0005999338371819808
6856063261943549190,Crew cab long bed rolling 😳💦@hodonnell36 #trucks #wheels #forces #southerntruckz #dieseltrucks #south #truckporn #truckcheck #tires #ford,2020-08-01 17:07:06,14,False,original sound,1683,196,3,8,0,137,10,0,17,5,1,0.0007178057770428396
6856029575214894342,What’s going on here? 😍@farmerpete2.0 #trucks #wheels #forces #wheels #dieseltrucks #liftedtruckcheck #southerntruckz #dieseltrucks #diesel,2020-08-01 14:56:24,16,False,original sound,1989,246,3,11,0,139,9,0,14,5,1,0.0007953285609436534
6855827318414281989,24x14 Hostile jigsaw wrapped in 33x14.50x24 @furytires -@perfectionwheels #trucks #tires #wheels #southerntruckz #diesel #liftedtrucks #lifted,2020-08-01 01:51:31,17,False,original sound,7003,834,2,12,0,142,7,0,1,5,1,0.0014176988606991643
6855458102515387654,Alumiduty sitting clean 💎@megatron_plati #trucks #wheels #dieseltrucks #southerntruckz #truckporn #racetruck #truckcheck #diesel #dodge #ford,2020-07-31 01:58:46,14,False,original sound,5668,813,4,13,0,141,10,0,1,4,1,0.0016179738642603829
6855352631284501765,Repost from @perfectionwheels#trucks #wheels #forces #liftedtruckcheck #southerntruckz #dieseltrucks #south #tires #diesel #truckporn #racetruck,2020-07-30 19:09:27,13,False,original sound,4133,443,1,0,0,144,11,0,19,3,1,0.000723059815867947
6855077350929943814,Follow us for more! 😂 #trucks #forces #wheels #tires #liftedtruckcheck #truckcheck #southerntruckz #dieseltrucks #dodge #ford #chevy #4x4diesels,2020-07-30 01:21:15,6,False,original sound,2982,400,2,18,0,144,12,0,1,3,1,0.0008836040210579685
6855038187061005574,Who’s running this setup on there rig?🔥  -@perfectionwheels #trucks #southerntruckz #dieseltrucks #truckporn #tires #wheels #ford #dodge #4x4diesels,2020-07-29 22:49:16,7,False,hatchback,1969,159,0,1,0,148,9,0,22,2,0,0.00023899463404167894
6854943519413406981,24x14 Moto metal 970s on 305 atturos! 😈 @perfectionwheels #trucks #wheels #tires #south #dieseltrucks #4x4diesels #liftedtruckcheck #truckcheck,2020-07-29 16:41:54,2,False,NOTHING,1522,108,0,1,0,143,8,0,16,2,0,0.00017295724441640796
6854720817775774982,CLEAN! 💎 Owner: @chad_vegascarguys⠀#wheels #tires #liftedtruckcheck #truckcheck #southerntruckz #dieseltrucks #truckporn #diesel,2020-07-29 02:17:43,19,False,original sound,868,36,0,2,0,128,8,0,2,2,1,8.501915928478445e-05
6854618961439460614,Anyone Been In His Shoes?!? 😂#imontheway tag owner #trucks #wheels #liftedtruckcheck #tires #southerntruckz #dieseltrucks #truckporn #diesel #ford,2020-07-28 19:42:27,7,False,original sound,3239,367,1,14,0,146,10,0,19,1,1,0.0007032784962655917
6854317089549847814,Volume up🔥📸 Owner: @legends_gio #trucks #wheels #liftedtruckcheck #truckcheck #southerntruckz #tires #diesel #ford #dodge #racetruck #4x4diesels,2020-07-28 00:11:03,6,False,original sound,115300,7307,28,154,0,144,11,0,0,1,1,0.016828407704744232
6854243893290994950,OBS Obsession  @taylor_huntley_ 💯💯💯 #trucks #wheels #forces #liftedtruckcheck #dieseltrucks #southerntruckz #truck #4x4diesels #racetruck,2020-07-27 19:26:59,21,False,original sound,1962,183,2,11,0,137,9,0,19,0,1,0.0006007712752912295
6853975656397622533,Forgiatos on Nitto Terra Graps! - @tatestolfa #trucks #wheels #tires #forces #liftedtruckcheck #truckcheck #south #dieseltrucks #truckporn #chevy,2020-07-27 02:06:07,10,False,original sound,2552,184,1,0,0,145,10,0,2,0,1,0.0004213062049469588
6853931816164887814,hahahahaha! 😂 #trucks #dieseltrucks #southerntruckz #truckporn #diesel #chevy #tires #ford #dodge #4x4diesels #TooManyShoes,2020-07-26 23:15:59,5,False,original sound,3016,327,3,12,0,123,11,0,23,6,1,0.0009220880671746511
6853864543785929990,Repost from @tatestolfaWho’s putting these on there truck? 🔥#perfectionwheels #trucks #wheels #forces #liftedtruckcheck #truckcheck #tires #south,2020-07-26 18:54:55,5,False,Obnimi - Callmearco Remix,4684,479,3,4,0,145,8,0,18,6,0,0.0010840021560597343
6853799035430604038,It’s Britney 🤣😂 #southerntruckz #dieseltrucks #truckporn #diesel #chevy #ford #truck #tires #foryou #dodge #racetruck,2020-07-26 14:40:44,4,False,original sound,3988,357,2,19,0,117,11,0,14,6,1,0.0009017936001559805
6853608439319514374,Would you drive this squarebody? 😎 @bmsoffroad #southerntruckz #truckporn #dieseltrucks #wheels #chevy #TooManyShoes #4x4diesels #wheels #mudtires,2020-07-26 02:21:08,8,False,Ghostmane Flesh,132800,23600,130,355,0,146,9,0,2,6,0,0.047238707537931204
6853481572264447237,Yeah that’s not right😂 Tag owner #southerntruckz #fyp #truckporn #dieseltrucks #diesels #wheels #chevy #ford #wheels #4x4diesels #yolo #ram,2020-07-25 18:08:48,5,False,original sound,2678,221,4,14,0,139,12,0,18,5,1,0.0009650867724215766
